"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"REPSOL",39.086278,-1.963944,1.169,,1.239,1.359,4841
"CAMPSA",39.107667,-1.990194,1.159,,1.219,1.339,5237
"CEPSA",39.238111,-1.635111,1.166,,1.219,1.334,4789
"PETROGAS",38.532389,-1.694889,1.068,,1.188,,13229
"PETRONOR",38.641722,-1.844139,1.106,0.769,1.235,,5113
"CARBURANTES GARCIA LOZANO",38.528306,-1.706972,1.119,,1.189,,4869
"DLP",38.511222,-1.696972,1.149,,1.219,1.359,4423
"HELLIN GAS S.L.",38.495972,-1.636389,1.099,0.849,1.219,1.359,11181
"REPSOL",38.502889,-1.714556,1.149,,1.219,1.359,4806
"REPSOL",38.524444,-1.703056,1.149,,1.219,1.359,5135
"REPSOL",38.491861,-1.741111,1.149,0.824,1.219,1.359,5163
"PETRONOR",38.506806,-1.687833,1.149,,1.219,1.359,4831
"CEPSA",38.417306,-1.571667,1.155,,1.219,1.334,5312
"GALP",38.46425,-1.596722,1.149,,1.239,1.369,10575
"E.S. MADRIGUERAS ",38.526528,-1.708944,1.095,,,,10171
"IDS",38.545111,-1.705389,1.184,,,,11142
"E.S. SIERRA DEL SEGURA",38.356556,-2.111056,1.143,0.788,1.227,1.358,4393
"E.S. VIRGEN DE LA CRUZ",38.948472,-2.354861,1.169,,1.259,,4371
"E.S. MADRIGUERAS",39.226611,-1.800611,1.089,,1.199,,10983
"REPSOL",39.233056,-1.799472,1.149,0.829,1.219,1.359,5232
"REPSOL",39.276056,-2.330333,1.149,0.779,1.239,1.369,5277
"MONTGASOLEOS",38.79725,-1.31675,1.079,,1.129,,9312
"LOS CORRALES",38.785917,-1.33025,1.139,,1.239,,5202
"INPEALSA",39.043806,-2.485028,1.079,,1.189,,5213
"CAMPSA",38.151167,-2.293444,1.149,0.824,1.219,1.359,5265
"CAMPSA",38.622944,-1.497667,1.135,0.824,1.209,1.333,10619
"COOPERATIVA SAN JOSE",38.609542,-1.508329,1.029,0.669,,,11340
"REPSOL",38.967167,-2.7515,1.149,0.824,1.219,1.359,5270
"CEPSA",38.828806,-1.553694,1.155,0.766,1.244,,4791
"E.S. LEDAÑA ",38.805278,-1.736389,1.079,,,,11977
"REPSOL",38.717556,-1.91075,1.169,0.785,1.279,,5238
"SAT SANTA CRUZ DE POZO LORENTE",39.081278,-1.512611,1.065,0.639,,,12334
"INLOCOR S.L.",38.804722,-2.098778,1.159,0.849,1.249,1.379,4410
"CEPSA",38.493528,-2.411444,1.155,,1.229,1.344,4793
"CANOIL",38.771194,-2.450028,1.129,,1.209,,4370
"GALP",39.143972,-2.05125,1.169,,1.249,1.355,5317
"GALP",39.225,-2.186083,1.169,,1.249,1.355,5316
"GASPLAY",39.218389,-2.158028,1.039,,1.149,,13480
"CEPSA",39.212861,-2.171778,1.155,,1.219,1.334,11279
"CASA JUANITO RESTAURANTE",39.212361,-2.171028,1.159,,1.227,,4891
"REPSOL",39.201667,-2.149,1.149,,1.229,1.359,4894
"CAMPSA",39.213722,-2.156667,1.149,,1.229,1.359,5162
"REPSOL",39.212972,-2.166444,1.169,,1.239,1.359,11427
"NAVARRO Y VALERO, S.L",38.331361,-1.981861,1.139,0.829,1.239,1.369,4392
"LA GAVIOTA GASOLINERAS",39.256194,-1.912194,1.023,,1.129,,12953
