"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"GALP",38.337778,-0.523139,1.259,,1.359,1.489,3749
"GALP",38.34525,-0.520556,1.259,,1.359,1.489,3727
"PETRO ALACANT",38.344917,-0.518333,1.248,,1.338,1.475,12485
"CEPSA",38.338611,-0.516,1.289,,1.385,1.5,9302
"CARREFOUR",38.340028,-0.51775,1.279,,1.369,,12961
"CEPSA",38.344139,-0.538472,1.289,0.929,1.383,1.498,3446
"PETRONOR",38.342361,-0.607083,1.279,,1.369,1.509,3660
"REPSOL",38.411,-0.565972,1.219,,1.329,1.405,1893
"REPSOL",38.4115,-0.565444,1.279,,1.389,1.509,9455
"CEPSA",38.339667,-0.564806,,,,,12578
"GALP",38.115139,-0.78875,1.255,,1.369,1.459,3721
"REPSOL",38.104778,-0.797083,1.299,0.969,1.399,1.529,9717
"LAS MAROMAS",38.099361,-0.796528,1.249,0.919,1.339,1.429,9613
"CAMPSA EXPRESS",38.103833,-0.781472,1.255,,1.349,1.473,3514
"PETROPRIX",38.122583,-0.783083,1.149,,1.245,,14211
"CEPSA",38.123556,-0.781806,1.289,0.942,1.383,1.498,3410
"REPSOL",38.604722,-0.048611,1.299,,1.389,1.529,3402
"REPSOL",38.586556,-0.064694,1.299,,1.389,1.529,3517
"REPSOL",38.605917,-0.078472,1.299,,1.389,1.529,3484
"GALP",38.593222,-0.054917,1.279,,1.369,1.489,3712
"CEPSA ELF",38.62675,-0.0385,1.286,,1.389,1.504,3444
"CONFORT AUTO",38.358167,-0.770917,1.239,,1.339,1.439,11718
"REPSOL",38.336722,-0.774111,1.289,0.989,1.389,1.519,3542
"BP",38.325917,-0.767139,1.269,,1.379,1.519,10582
"CEPSA ESPAÑA S.A.",38.354028,-0.772639,1.285,,1.379,1.494,1943
"QFS",38.356306,-0.772361,1.169,,1.279,,12853
"MARTI SERRA, S.A.",38.3555,-0.772833,1.209,,1.299,,3649
"LEVANTINA",38.356139,-0.770417,1.275,,1.389,,11522
"REPSOL",38.715917,-0.664056,1.289,,1.379,,3405
"BAÑERES",38.720111,-0.671194,1.189,,1.299,1.389,3663
"ESTACIONES DE SERVICIO DIEGO S.L.",38.698,-0.771194,1.179,0.799,1.279,1.35,10302
"COOPERATIVA DIVINA AURORA",38.701889,-0.76775,1.189,0.799,1.289,,1907
"REPSOL",38.076944,-0.843056,1.299,0.969,1.389,1.449,3574
"BP BENIDORM",38.544194,-0.11925,1.289,,1.389,1.531,3632
"GALP",38.533639,-0.16225,1.249,,1.344,1.484,3716
"GALP",38.557694,-0.1015,1.259,,1.354,1.494,3429
"GALP",38.558056,-0.101917,1.259,,1.354,1.494,3430
